epoch,train_loss,val_macro_f1,val_balanced_accuracy
1,1.2659844911118696,0.3234848484848485,0.35119047619047616
2,1.122180132536154,0.3571428571428571,0.38095238095238093
3,1.054354539671388,0.5111111111111111,0.5833333333333333
4,0.9790551295517662,0.5113636363636364,0.5416666666666666
5,0.91629382643504,0.45580808080808083,0.47023809523809523
6,0.8672121832245866,0.4557692307692308,0.4642857142857143
7,0.826283918921447,0.452991452991453,0.4642857142857143
8,0.7847458397854131,0.5402930402930404,0.5476190476190476
9,0.7477266224905279,0.50999000999001,0.5059523809523809
10,0.7239825965628514,0.4557692307692308,0.4642857142857143
11,0.7030861235144916,0.3992424242424243,0.4285714285714286
12,0.6748568422485873,0.5897435897435898,0.5892857142857143
13,0.677528356327663,0.45833333333333337,0.47023809523809523
14,0.6623216005795726,0.6230769230769231,0.5892857142857143
15,0.6117423189296047,0.645054945054945,0.6309523809523809
16,0.6089330128312267,0.5568181818181819,0.5833333333333333
17,0.6045477343874551,0.49213286713286714,0.5059523809523809
18,0.5740250175907061,0.5375874125874126,0.5476190476190476
19,0.5600375413841634,0.45580808080808083,0.47023809523809523
20,0.5428838370178309,0.45833333333333337,0.47023809523809523
